platform,game,date,rtt,bitrate,fps
stadia,acv,0908,8.19920976324762,18824797.904392496,60.520500032253565
stadia,acv,0909,8.433406731676628,16998198.14524174,61.165300530378055
stadia,acv,0911,8.158236729713243,17435870.14751104,61.41247662084088
stadia,acv,0912,8.201806526806529,18543556.096684344,60.73709490136845
stadia,acv,0913,7.767512111712738,18275239.803958505,60.48452619970049
stadia,acv,0914,8.207123316498317,16454218.27732999,61.707474298202136
stadia,acv,0921,8.276864995469644,18352816.332649786,61.43238556387546
stadia,acv,0923,7.8469021424435415,16558948.775317978,60.745804873241674
stadia,acv,0924,8.145130920859076,16245293.606206862,60.93635532347308
stadia,acv,0928,8.023359811709323,19567298.556453638,60.58781310762039
stadia,acv,0929,7.853833000854946,20211298.571190927,60.566423051638665
stadia,acv,0930,8.172128811627244,20333153.360690024,60.585145059701624
stadia,acv,1007,8.143110348770728,20389000.148069974,60.544664661329506
stadia,acv,1010,7.771501852379596,20990225.6517953,60.60159548847163
stadia,acv,1025,8.733612440191385,9105526.494158836,60.62829079897927
stadia,acv,1026,8.516626794258377,9141913.139676059,60.63164148942278
stadia,acv,1027,8.287200956937799,9309762.206862211,60.60222536131871
stadia,acv,1028,8.49904306220096,8553949.443495633,60.629471850124084
stadia,acv,1101,8.526408345752609,8521582.123980882,60.62011543886664
stadia,acv,1102,8.835047846889955,8481743.015689418,60.61220799332666
stadia,acv,1104,8.57979797979798,8556938.577166984,60.624843033135
stadia,acv,1105,8.59919523099851,8519653.175321009,60.63802089833695
stadia,acv,1108,8.625514157973177,8624552.243465079,60.62700135283483
stadia,acv,1109,8.279374068554397,8643205.52788586,60.62074572930856
stadia,acv,1110,8.280678067806775,8597164.309113001,60.588661576632774
stadia,crew2,0909,8.45752508361204,15370152.66934812,60.989976622444594
stadia,crew2,0911,7.839783978397838,16056289.460275235,60.57145058804326
stadia,crew2,0912,8.208646727864968,15769240.472416425,60.65878265164372
stadia,crew2,0913,8.198363636363634,15463812.863794034,60.70121646979203
stadia,crew2,0914,8.80330312774043,15821374.926502252,60.42045737036067
stadia,crew2,0921,8.611083718541346,15042322.126439491,60.93359432993453
stadia,crew2,0923,7.653636363636362,15950469.021400077,60.49478055433555
stadia,crew2,0924,8.537959060806743,16021922.542585773,60.80435962330749
stadia,crew2,0928,7.66095041322314,15823318.867781974,60.518622750435306
stadia,crew2,0929,7.677959121415499,14984882.961983975,60.61447501821926
stadia,crew2,0930,7.685427655393525,15269966.018153317,61.004002266438505
stadia,crew2,1008,7.8041642228739,15858082.621467005,60.43958975575173
stadia,crew2,1010,7.499912023460411,15873637.839813596,60.60327614485247
stadia,crew2,1025,8.473803827751194,6951405.378148287,60.587405081455366
stadia,crew2,1026,8.457293189125986,7049909.742779214,60.62904541782031
stadia,crew2,1027,8.875562700964633,7070515.736077453,60.602075290653254
stadia,crew2,1028,8.611049400760013,6379316.25524692,60.600398109871534
stadia,crew2,1101,8.353463899444607,6832682.984821972,60.62413998231621
stadia,crew2,1102,8.972494172494173,6931389.773303547,60.56387151927215
stadia,crew2,1104,8.435048231511256,6932903.367837622,60.60131404847187
stadia,crew2,1105,8.345571470330313,6863401.026278883,60.618999531547885
stadia,crew2,1108,8.759965034965031,7009026.141604503,60.61909362287251
stadia,crew2,1110,8.519584916691027,6924293.079590819,60.62832734292338
stadia,fc5,0908,7.739568567026195,15417993.863709385,60.80972855615128
stadia,fc5,0909,8.453865182436612,17305668.021697327,60.6201462889911
stadia,fc5,0911,7.468089680589681,16717966.878581598,60.84116914667065
stadia,fc5,0912,7.748212121212121,17519130.231054917,60.38603618948809
stadia,fc5,0913,8.446666666666667,17121746.73371158,61.078510614025866
stadia,fc5,0914,7.717583732057416,16901402.318876833,60.54874110681334
stadia,fc5,0921,8.316252805836138,16892564.287543897,60.66283721833741
stadia,fc5,0923,7.939597315436242,16467272.166343465,60.62196121831554
stadia,fc5,0924,8.027241700279243,17498959.132461525,60.77735339265453
stadia,fc5,0928,8.164915824915823,15725247.953893539,60.97442914089171
stadia,fc5,0929,8.409742475954081,16307935.739503024,60.669799564182966
stadia,fc5,1007,8.212192155670419,17294899.359689068,60.561017426080994
stadia,fc5,1008,7.8998489882210805,16459888.701050455,60.39139088884172
stadia,fc5,1010,7.855272727272727,17077516.382054005,60.748314023272066
stadia,fc5,1025,8.200147102088847,7150743.165499828,60.569598965672185
stadia,fc5,1026,8.91694616063548,6845290.991646547,60.583172150480486
stadia,fc5,1027,8.977669902912622,7120353.133389511,60.514844107879995
stadia,fc5,1028,8.610616028708131,6912278.311396977,60.57618164314144
stadia,fc5,1101,8.71932551319648,6911697.939053889,60.584569880110315
stadia,fc5,1102,8.636891495601171,6970700.435095426,60.556500793633205
stadia,fc5,1104,8.566070381231672,7005328.978607202,60.567877442061274
stadia,fc5,1105,8.792228739002933,6863718.742012939,60.56835094457282
stadia,fc5,1108,8.4916715542522,6991528.301819556,60.57942333145104
stadia,fc5,1109,7.999208211143694,6894272.247262462,60.56912215270324
stadia,fc5,1110,8.47922918505443,6933209.530370061,60.56503540994939
